locus_tag	name	type	description	functional	strand	rbs_start	rbs_stop	start_position	stop_position	tblist_regulon	tblist_operon	tu_id	functional_category
Rv0171	mce1C	CDS	Mce-family protein Mce1C		+			200932	202479		Rv0170 and Rv0171, Rv0171 and Rv0172 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	virulence, detoxification, adaptation
Rv0172	mce1D	CDS	Mce-family protein Mce1D		+			202476	204068		Rv0171 and Rv0172, Rv0172 and Rv0173 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	virulence, detoxification, adaptation
Rv0173	lprK	CDS	Possible Mce-family lipoprotein LprK (Mce-family lipoprotein Mce1E)		+			204065	205237		Rv0172 and Rv0173, Rv0173 and Rv0174 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	cell wall and cell processes
Rv0174	mce1F	CDS	Mce-family protein Mce1F		+	205216	205219	205231	206778		Rv0173 and Rv0174, Rv0174 and Rv0175 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	virulence, detoxification, adaptation
Rv0175	Rv0175	CDS	Probable conserved Mce associated membrane protein		+			206814	207455		Rv0174 and Rv0175, Rv0175 and Rv0176 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	cell wall and cell processes
Rv0176	Rv0176	CDS	Probable conserved Mce associated transmembrane protein		+			207452	208420		Rv0175 and Rv0176, Rv0176 and Rv0177 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	cell wall and cell processes
Rv0177	Rv0177	CDS	Probable conserved Mce associated protein		+			208417	208971		Rv0176 and Rv0177, Rv0177 and Rv0178 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	conserved hypotheticals	Prediction based on GO and InterPro: virulence, detoxification, adaptation (See Mazandu and Mulder, 2012)
Rv0178	Rv0178	CDS	Probable conserved Mce associated membrane protein		+			208938	209672		Rv0177 and Rv0178 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	cell wall and cell processes
Rv0179c	lprO	CDS	Possible lipoprotein LprO		-			209703	210812			TU0122	cell wall and cell processes
Rv0180c	Rv0180c	CDS	Probable conserved transmembrane protein		-	212256	212260	210892	212250			TU0123	cell wall and cell processes
Rv0181c	Rv0181c	CDS	Conserved hypothetical protein		-			212277	213011			TU0123	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0182c	sigG	CDS	Probable alternative RNA polymerase sigma factor SigG (RNA polymerase ECF type sigma factor)		-			213028	214140			TU0123	information pathways
Rv0183	Rv0183	CDS	Possible lysophospholipase		+			214088	214927	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).		TU0124	intermediary metabolism and respiration
Rv0184	Rv0184	CDS	Conserved hypothetical protein		+			214969	215718			TU0125	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0185	Rv0185	CDS	Conserved hypothetical protein		+	216260	216263	215715	216224			TU0125	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0186	bglS	CDS	Probable beta-glucosidase BglS (gentiobiase) (cellobiase) (beta-D-glucoside glucohydrolase)		+			216269	218344			TU0126	intermediary metabolism and respiration
Rv0186A	mymT	CDS	Metallothionein, MymT		-			218390	218551				virulence, detoxification, adaptation
Rv0187	Rv0187	CDS	Probable O-methyltransferase		+			218705	219367			TU0127	intermediary metabolism and respiration
Rv0188	Rv0188	CDS	Probable conserved transmembrane protein		+	219474	219478	219486	219917			TU0128	cell wall and cell processes
Rv0189c	ilvD	CDS	Probable dihydroxy-acid dehydratase IlvD (dad)		-			219996	221723			TU0129	intermediary metabolism and respiration
Rv0190	Rv0190	CDS	Conserved protein		+	221856	221859	221871	222161			TU0130	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0191	Rv0191	CDS	Probable conserved integral membrane protein		+	222281	222284	222289	223530			TU0131	cell wall and cell processes
Rv0192	Rv0192	CDS	Conserved hypothetical protein		+			223564	224664			TU0131	conserved hypotheticals
Rv0192A	Rv0192A	CDS	Conserved secreted protein		+	223592	223596	223607	223909			TU0131	cell wall and cell processes
Rv0193c	Rv0193c	CDS	Hypothetical protein		-			224724	226571	Predicted to be in the Rv1404 regulon (See Golby et al., 2008).		TU0132	conserved hypotheticals
Rv0194	Rv0194	CDS	Probable transmembrane multidrug efflux pump		+	226865	226869	226878	230462	Predicted to be in the Rv1404 regulon (See Golby et al., 2008).		TU0133	cell wall and cell processes
Rv0195	Rv0195	CDS	Possible two component transcriptional regulatory protein (probably LuxR-family)		+			230899	231534	Predicted to be in the Rv1404 regulon (See Golby et al., 2008).		TU0134	regulatory proteins
Rv0196	Rv0196	CDS	Possible transcriptional regulatory protein		+	231638	231641	231647	232231			TU0135	regulatory proteins
Rv0197	Rv0197	CDS	Possible oxidoreductase		+	232219	232224	232231	234519			TU0135	intermediary metabolism and respiration
Rv0198c	zmp1	CDS	Probable zinc metalloprotease Zmp1		-	236515	236519	234516	236507			TU0136	intermediary metabolism and respiration
Rv0199	Rv0199	CDS	Probable conserved membrane protein		+			236550	237209			TU0137	cell wall and cell processes
Rv0200	Rv0200	CDS	Possible conserved transmembrane protein		+	237194	237197	237206	237895			TU0137	cell wall and cell processes
Rv0201c	Rv0201c	CDS	Conserved protein		-	238400	238405	237892	238395			TU0138	conserved hypotheticals
Rv0202c	mmpL11	CDS	Probable conserved transmembrane transport protein MmpL11		-			238392	241292			TU0138	cell wall and cell processes
Rv0203	Rv0203	CDS	Possible exported protein		+	241501	241507	241514	241924			TU0139	cell wall and cell processes
Rv0204c	Rv0204c	CDS	Probable conserved transmembrane protein		-			241976	243214			TU0140	cell wall and cell processes
Rv0205	Rv0205	CDS	Probable conserved transmembrane protein		+			243384	244487			TU0141	cell wall and cell processes
Rv0206c	mmpL3	CDS	Possible conserved transmembrane transport protein MmpL3		-			244484	247318			TU0142	cell wall and cell processes
Rv0207c	Rv0207c	CDS	Conserved hypothetical protein		-			247384	248112			TU0143	conserved hypotheticals
Rv0208c	Rv0208c	CDS	Hypothetical methlytransferase (methylase)		-			248115	248906			TU0143	intermediary metabolism and respiration
Rv0209	Rv0209	CDS	Hypothetical protein		+			249038	250123			TU0144	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0210	Rv0210	CDS	Hypothetical protein		+			250120	251598			TU0144	conserved hypotheticals
Rv0211	pckA	CDS	Probable iron-regulated phosphoenolpyruvate carboxykinase [GTP] PckA (phosphoenolpyruvate carboxylase) (PEPCK)(pep carboxykinase)		+			251782	253602			TU0145	intermediary metabolism and respiration
Rv0212c	nadR	CDS	Possible transcriptional regulatory protein NadR (probably AsnC-family)		-			253669	254640			TU0146	regulatory proteins
Rv0213c	Rv0213c	CDS	Possible methyltransferase (methylase)		-			254637	255950	ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0146	intermediary metabolism and respiration
Rv0214	fadD4	CDS	Probable fatty-acid-CoA ligase FadD4 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)		+			256064	257677	ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0147	lipid metabolism
Rv0215c	fadE3	CDS	Probable acyl-CoA dehydrogenase FadE3		-			257783	258856			TU0148	lipid metabolism
Rv0216	Rv0216	CDS	Double hotdog hydratase		+			258913	259926			TU0149	intermediary metabolism and respiration
Rv0217c	lipW	CDS	Possible esterase LipW		-			259923	260831			TU0150	intermediary metabolism and respiration
Rv0218	Rv0218	CDS	Probable conserved transmembrane protein		+			260924	262252			TU0151	cell wall and cell processes
Rv0219	Rv0219	CDS	Probable conserved transmembrane protein		+			262254	262802			TU0151	cell wall and cell processes
Rv0220	lipC	CDS	Probable esterase LipC		+			262812	264023			TU0151	intermediary metabolism and respiration
Rv0221	Rv0221	CDS	Possible triacylglycerol synthase (diacylglycerol acyltransferase)		+			264067	265476			TU0152	lipid metabolism
Rv0222	echA1	CDS	Probable enoyl-CoA hydratase EchA1 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)		+			265507	266295			TU0152	lipid metabolism
Rv0223c	Rv0223c	CDS	Probable aldehyde dehydrogenase		-			266301	267764	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0153	intermediary metabolism and respiration
Rv0224c	Rv0224c	CDS	Possible methyltransferase (methylase)		-			267863	268627			TU0154	intermediary metabolism and respiration
Rv0225	Rv0225	CDS	Possible conserved protein		+			268663	269817			TU0155	cell wall and cell processes
Rv0226c	Rv0226c	CDS	Probable conserved transmembrane protein		-			269834	271564			TU0156	cell wall and cell processes
Rv0227c	Rv0227c	CDS	Probable conserved membrane protein		-			271574	272839			TU0156	cell wall and cell processes
Rv0228	Rv0228	CDS	Probable integral membrane acyltransferase		+			273055	274278			TU0157	intermediary metabolism and respiration
Rv0229c	Rv0229c	CDS	Possible conserved membrane protein with PIN domain		-			274306	274986			TU0158	cell wall and cell processes
Rv0230c	php	CDS	Probable phosphotriesterase Php (parathion hydrolase) (PTE) (aryldialkylphosphatase) (paraoxonase) (a-esterase) (aryltriphosphatase) (paraoxon hydrolase)		-			274983	275963			TU0158	lipid metabolism
Rv0231	fadE4	CDS	Probable acyl-CoA dehydrogenase FadE4		+			276058	277764			TU0159	lipid metabolism
Rv0232	Rv0232	CDS	Probable transcriptional regulatory protein (probably TetR/AcrR-family)		+			277899	278588	Predicted to be in the Zur|Rv2359 regulon (See Maciag et al., 2007).		TU0160	regulatory proteins
Rv0233	nrdB	CDS	Ribonucleoside-diphosphate reductase (beta chain) NrdB (ribonucleotide reductase small chain)		+			278585	279529			TU0160	information pathways
Rv0234c	gabD1	CDS	Succinate-semialdehyde dehydrogenase [NADP+] dependent (SSDH) GabD1		-			279605	281140			TU0161	intermediary metabolism and respiration
Rv0235c	Rv0235c	CDS	Probable conserved transmembrane protein		-			281166	282614			TU0161	cell wall and cell processes
Rv0236c	aftD	CDS	Possible arabinofuranosyltransferase AftD		-			282649	286851			TU0163	cell wall and cell processes
Rv0236A	Rv0236A	CDS	Small secreted protein		-			286898	287071			TU0162	cell wall and cell processes
Rv0237	lpqI	CDS	Probable conserved lipoprotein LpqI		+			287186	288352			TU0164	cell wall and cell processes
Rv0238	Rv0238	CDS	Possible transcriptional regulatory protein (probably TetR-family)		+	288416	288421	288428	289042			TU0165	regulatory proteins
Rv0239	vapB24	CDS	Possible antitoxin VapB24		+			289104	289337			TU0166	virulence, detoxification, adaptation
Rv0240	vapC24	CDS	Possible toxin VapC24. Contains PIN domain.		+			289345	289782			TU0166	virulence, detoxification, adaptation
Rv0241c	htdX	CDS	Probable 3-hydroxyacyl-thioester dehydratase HtdX		-	290663	290666	289812	290654			TU0167	intermediary metabolism and respiration
Rv0242c	fabG4	CDS	Probable 3-oxoacyl-[acyl-carrier protein] reductase FabG4 (3-ketoacyl-acyl carrier protein reductase)		-	292038	292041	290665	292029			TU0167	lipid metabolism
Rv0243	fadA2	CDS	Probable acetyl-CoA acyltransferase FadA2 (3-ketoacyl-CoA thiolase) (beta-ketothiolase)		+	292161	292164	292171	293493		fadA2|Rv0243 and F6 are co-transcribed, by RT-PCR (See Arnvig and Young, 2009).	TU0168	lipid metabolism
MTB000051	F6	ncRNA	Putative small regulatory RNA		+			293604	293705		fadA2|Rv0243 and F6 are co-transcribed, by RT-PCR (See Arnvig and Young, 2009).		stable RNAs
Rv0244c	fadE5	CDS	Probable acyl-CoA dehydrogenase FadE5		-	295640	295646	293798	295633			TU0169	lipid metabolism
Rv0245	Rv0245	CDS	Possible oxidoreductase		+			296005	296493			TU0170	intermediary metabolism and respiration
Rv0246	Rv0246	CDS	Probable conserved integral membrane protein		+	296797	296802	296809	298119	ChIP-chip indicates SigK|Rv0445c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0171	cell wall and cell processes
Rv0247c	sdhB2	CDS	Probable succinate dehydrogenase [iron-sulfur subunit] (succinic dehydrogenase)		-	298867	298870	298116	298862			TU0172	intermediary metabolism and respiration
Rv0248c	sdhA2	CDS	Probable succinate dehydrogenase [iron-sulfur subunit] (succinic dehydrogenase)		-	300808	300811	298863	300803			TU0172	intermediary metabolism and respiration
Rv0249c	sdhD2	CDS	Probable succinate dehydrogenase [membrane anchor subunit] (succinic dehydrogenase)		-	301665	301669	300834	301655			TU0172	intermediary metabolism and respiration
Rv0250c	Rv0250c	CDS	Conserved protein		-	302035	302038	301735	302028			TU0173	conserved hypotheticals
Rv0251c	hsp	CDS	Heat shock protein Hsp (heat-stress-induced ribosome-binding protein A)		-	302659	302663	302173	302652	Predicted to be in the SigG|Rv0182c regulon, in M. tuberculosis CDC1551 (See Lee et al., 2008).		TU0174	virulence, detoxification, adaptation
Rv0252	nirB	CDS	Probable nitrite reductase [NAD(P)H] large subunit [FAD flavoprotein] NirB		+			302866	305427			TU0175	intermediary metabolism and respiration
Rv0253	nirD	CDS	Probable nitrite reductase [NAD(P)H] small subunit NirD		+	305442	305448	305453	305809			TU0175	intermediary metabolism and respiration
Rv0254c	cobU	CDS	Probable bifunctional cobalamin biosynthesis protein CobU: cobinamide kinase + cobinamide phosphate guanylyltransferase		-			305825	306349			TU0176	intermediary metabolism and respiration
Rv0255c	cobQ1	CDS	Probable cobyric acid synthase CobQ1		-	307863	307866	306374	307858			TU0176	intermediary metabolism and respiration
Rv0256c	PPE2	CDS	PPE family protein PPE2		-			307877	309547			TU0176	PE/PPE
Rv0257	Rv0257	CDS	Conserved hypothetical protein		+	309691	309694	309699	310073			TU0177	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0258c	Rv0258c	CDS	Conserved hypothetical protein		-			310294	310749			TU0178	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0259c	Rv0259c	CDS	Conserved hypothetical protein		-			310774	311517			TU0178	conserved hypotheticals
Rv0260c	Rv0260c	CDS	Possible transcriptional regulatory protein		-			311514	312659			TU0178	regulatory proteins
Rv0261c	narK3	CDS	Probable integral membrane nitrite extrusion protein NarK3 (nitrite facilitator)		-			312759	314168			TU0179	cell wall and cell processes
Rv0262c	aac	CDS	Aminoglycoside 2'-N-acetyltransferase Aac (Aac(2')-IC)		-			314309	314854			TU0180	virulence, detoxification, adaptation
Rv0263c	Rv0263c	CDS	Conserved hypothetical protein		-			314864	315766			TU0180	conserved hypotheticals
Rv0264c	Rv0264c	CDS	Conserved hypothetical protein		-			315783	316415			TU0180	conserved hypotheticals
Rv0265c	Rv0265c	CDS	Probable periplasmic iron-transport lipoprotein		-			316511	317503			TU0181	cell wall and cell processes
Rv0266c	oplA	CDS	Probable 5-oxoprolinase OplA (5-oxo-L-prolinase) (pyroglutamase) (5-OPASE)		-			317525	321154			TU0181	intermediary metabolism and respiration
Rv0267	narU	CDS	Probable integral membrane nitrite extrusion protein NarU (nitrite facilitator)		+			321331	322722			TU0182	cell wall and cell processes
Rv0268c	Rv0268c	CDS	Hypothetical protein		-			322764	323273			TU0183	conserved hypotheticals	Prediction based on GO and InterPro: virulence, detoxification, adaptation (See Mazandu and Mulder, 2012)
Rv0269c	Rv0269c	CDS	Conserved hypothetical protein		-			323338	324531			TU0184	conserved hypotheticals
Rv0270	fadD2	CDS	Probable fatty-acid-CoA ligase FadD2 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)		+			324567	326249			TU0185	lipid metabolism
Rv0271c	fadE6	CDS	Probable acyl-CoA dehydrogenase FadE6		-			326266	328461			TU0186	lipid metabolism
Rv0272c	Rv0272c	CDS	Unknown protein		-			328575	329708			TU0187	conserved hypotheticals
Rv0273c	Rv0273c	CDS	Possible transcriptional regulatory protein		-	330333	330337	329705	330325			TU0187	regulatory proteins
Rv0274	Rv0274	CDS	Conserved protein		+	330411	330414	330422	331003			TU0188	conserved hypotheticals
Rv0275c	Rv0275c	CDS	Possible transcriptional regulatory protein (possibly TetR-family)		-			330933	331658			TU0189	regulatory proteins
Rv0276	Rv0276	CDS	Conserved hypothetical protein		+	331736	331740	331748	332668			TU0190	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0277c	vapC25	CDS	Possible toxin VapC25. Contains PIN domain.		-			332708	333136			TU0191	virulence, detoxification, adaptation
Rv0277A	vapB25	CDS	Possible antitoxin VapB25					333160	333417				virulence, detoxification, adaptation
Rv0278c	PE_PGRS3	CDS	PE-PGRS family protein PE_PGRS3		-	336317	336321	333437	336310			TU0192	PE/PPE	Prediction based on GO and InterPro: virulence, detoxification, adaptation (See Mazandu and Mulder, 2012)
Rv0279c	PE_PGRS4	CDS	PE-PGRS family protein PE_PGRS4		-	339080	339084	336560	339073			TU0193	PE/PPE
Rv0280	PPE3	CDS	PPE family protein PPE3		+			339364	340974	Predicted to be in the Zur|Rv2359 regulon (See Maciag et al., 2007).		TU0194	PE/PPE
Rv0281	Rv0281	CDS	Possible S-adenosylmethionine-dependent methyltransferase		+			340998	341906	Predicted to be in the Zur|Rv2359 regulon (See Maciag et al., 2007).		TU0194	lipid metabolism
